transaction_id,provider,amount,status,reference,raw_ref
TXN-UPI-A62E01,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-62EC0D3A
TXN-UPI-6B6466,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-F8DD4725
TXN-UPI-9174F4,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-1BCD2F7B
TXN-UPI-109302,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-509F92B8
TXN-UPI-F487A8,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-B5043CD9
TXN-UPI-288EB9,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-358F22D9
TXN-UPI-448B80,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-397BB5EE
TXN-UPI-82A63F,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-57C2BE43
TXN-UPI-7C1C8E,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-6819C484
TXN-UPI-AEDC10,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-0A45AB0E
TXN-UPI-D4EC0F,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-6AE8CCE9
TXN-UPI-D27F05,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-EB225C3A
TXN-UPI-4F1FA3,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-F5DE43FD
TXN-UPI-4F17B2,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-90C48C04
TXN-UPI-08050F,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-86496058
TXN-UPI-402284,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-36779D38
TXN-UPI-59AFC9,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-3263228C
TXN-UPI-C39F1D,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-60F0B861
TXN-UPI-6C01F7,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-A2711E66
TXN-UPI-D3A1F7,UPI,40.0,SUCCESS,purchase:Lays Chips:qty=2,UPI-6FCF804E
TXN-UPI-EE7642,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-864B483B
TXN-UPI-D0A3D9,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-0CA225A2
TXN-UPI-429FFF,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-6CF504F7
TXN-UPI-B60837,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-643AAA48
<<<<<<< HEAD
TXN-UPI-09D953,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-64D698F9
TXN-UPI-9FDB96,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-C3D61121
TXN-UPI-9D0DE6,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-DFFB6882
TXN-UPI-3530BE,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-7CF4B865
TXN-UPI-0B5111,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-FF26FAF3
TXN-UPI-14E7F0,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-740F23A8
TXN-UPI-1C8EFD,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-AE782D4B
TXN-UPI-5A96FF,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-684BF4B0
TXN-UPI-FA1F1C,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-4488F23C
TXN-UPI-A28FEA,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-8483B917
TXN-UPI-1A47D8,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-D9A756B8
TXN-UPI-1D4ABA,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-C3D7A664
TXN-UPI-80B49A,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-1DFA02D7
TXN-UPI-E9F12B,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-9EEEFE0E
TXN-UPI-74A47D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-E68609D7
TXN-UPI-A19D9A,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-8C1B787E
TXN-UPI-293787,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-FCDEC341
TXN-UPI-6419A0,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-5FE60FD3
TXN-UPI-BC6F60,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-6E5D8F8E
TXN-UPI-DD9EE7,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-C26B29A9
TXN-UPI-121B79,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-D7825C42
TXN-UPI-6A75A9,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-DCF9FB6E
TXN-UPI-B21E32,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-E07D82C1
